Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-12-13T01:56:56.132 ,3,0.0032995364253916816,2.6745291301031577,FoVF,0.6307445065079204,0.7079946658933107,2457735.5840405175
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-12-30T12:12:30.117 ,4,-5.413947254001062E-4,-2.5148558891838646,FoVP,-0.4520254789339098,0.7080918991011647,2457753.0127984826
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-04-03T11:57:23.949 ,7,-0.0035753571429309123,0.48348244036754795,FoVF,0.37187857272813973,0.7074661538105051,2457847.002744852
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-04-18T12:03:00.391 ,3,0.0030370407036200463,1.4434908785298783,FoVF,-0.5615470431900033,0.7146219309088865,2457862.005650549
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-07-04T16:55:04.608 ,2,0.0037584712213399943,0.5262990221151888,FoVF,-0.4125325969718692,0.7197661520026343,2457939.2024891847
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-07-04T21:08:44.689 ,4,-6.314154531561391E-4,0.5147323886618644,FoVP,-0.4052422705469561,0.7223736585179057,2457939.3786368784
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-07-04T22:55:18.872 ,6,-0.002432575347592627,0.5098569080825973,FoVF,-0.40216745478298643,0.7234522148834188,2457939.4526391667
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-07-05T03:08:58.710 ,7,-0.006617472763497948,0.4982146416689618,FoVP,-0.39482037439707873,0.7259781854103646,2457939.628784086
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-07-16T21:17:52.747 ,7,-0.0069163258306784116,-0.31614628123512845,FoVP,0.10034434649379997,0.7268369347497916,2457951.384329739
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-07-17T03:18:06.708 ,5,-0.0022601186700905856,-0.33309955509962397,FoVP,0.10922109801536942,0.7235253845628621,2457951.634479459
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2017-07-17T05:04:40.891 ,5,-8.563769341120008E-4,-0.3381077115628037,FoVF,0.11182612828144681,0.722526400324553,2457951.7084827065
