Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-06-27T19:31:36.025 ,7,-0.006629953692021086,-1.9242742364883556,FoVP,-0.5955874858312279,0.7252806208961,2457567.312241265
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-07-27T01:29:10.003 ,5,-0.001992519410838971,2.437174205213511,FoVP,0.6391074899751955,0.7273432162182878,2457596.5609845924
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-10-05T02:22:46.103 ,7,-0.004827390734390943,1.2654085922779776,FoVF,0.7081302610807672,0.7184348016452812,2457666.6007256326
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-10-29T02:15:06.688 ,4,0.001525608819764896,2.408159404501547,FoVF,-0.6699428445276517,0.7109061615058764,2457690.5962774856
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-12-06T11:22:12.376 ,6,-0.004165868325464783,0.2620264444639566,FoVP,0.591540884064956,0.7050707884444274,2457728.9770330032
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-12-06T13:08:46.597 ,4,9.666372976318708E-4,0.26409270067371604,FoVF,0.5890394265084454,0.7070728527565564,2457729.0510408976
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-12-24T01:09:40.860 ,1,0.0057276078042897026,1.2996497683516948,FoVF,-0.5729539175550127,0.7110171362459283,2457746.5517276903
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-12-24T05:23:20.885 ,7,-0.00646261395068662,1.3047438626628203,FoVP,-0.5789944051328669,0.7061300971995988,2457746.727884871
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-01-31T16:13:02.472 ,2,0.0031192730572296465,-0.8492356854163626,FoVP,0.6437178770876916,0.6998959634379825,2457785.178458778
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-02-22T13:16:23.662 ,1,0.006930695194386489,0.278530818057216,FoVF,-0.6791921080508005,0.7102719386931398,2457807.0550703476
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-02-22T17:30:03.680 ,7,-0.0061254439849413355,0.2790141306198676,FoVP,-0.6817778865994102,0.7080915052412348,2457807.2312214356
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-05-01T10:30:53.849 ,4,-0.0011835665453078306,-0.8446580264517838,FoVP,-0.6603256811589149,0.7158725232530478,2457874.937553136
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-05-31T04:25:20.594 ,5,-0.0027029672249632105,-2.801783544632279,FoVP,0.6029779017271031,0.7221991422387863,2457904.6830335003
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-05-31T06:11:54.794 ,4,0.0010321397693602119,-2.8054348285657085,FoVF,0.6046184388772424,0.7207500603458367,2457904.757039448
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-07-11T16:02:56.964 ,3,7.46093464614121E-4,-2.149726660487503,FoVP,-0.6125683913329714,0.721343287634745,2457946.1675023576
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-07-11T17:49:31.159 ,6,-0.0029995381706357242,-2.1533230810410284,FoVF,-0.6109681689877711,0.7228004375787641,2457946.2415103074
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-08-10T21:57:06.730 ,3,2.5839231496197325E-4,2.1692150455433175,FoVP,0.6682750117481286,0.7249259186217993,2457976.4141498925
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-08-10T23:43:40.965 ,2,0.004526849926124468,2.1662021002895426,FoVF,0.6696549942394647,0.723794454967125,2457976.4881595406
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-09-13T03:37:45.315 ,6,-0.003893151618997409,-3.1068863379328717,FoVP,-0.7205020412475835,0.71544377984781,2458009.651927703
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-11-09T14:53:22.527 ,6,-0.004345313174137005,2.1968587729203235,FoVP,-0.6470105174476689,0.7072697285864141,2458067.1232033176
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-12-18T07:42:45.667 ,5,-0.002277316341194454,0.04507827121946423,FoVP,0.5834515885423097,0.70542975964676,2458105.82472711
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2017-12-18T09:29:19.875 ,3,0.0028386335616029023,0.047220692880541634,FoVF,0.5809178760604888,0.7074959487480971,2458105.8987342445
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-01-04T21:30:09.358 ,2,0.004431638079611132,1.0833964050930274,FoVF,-0.5831086316965611,0.7116010027728149,2458123.3992217374
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-03-07T20:15:45.063 ,5,-1.9339064408895062E-4,0.0779003750483431,FoVF,-0.6998231390868828,0.7118170645640935,2458185.3457947387
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-04-10T11:58:01.861 ,6,-0.003786665200262526,-2.015202445767792,FoVP,0.6984161728034336,0.7117735044642248,2458218.9988045404
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-04-10T13:44:36.061 ,4,0.001101474986596176,-2.017386537548681,FoVF,0.6990773397486036,0.7110401191343924,2458219.07280867
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-05-16T01:22:50.249 ,4,0.0018614030165440007,-1.111621972779594,FoVF,-0.6305030361390749,0.7190317057335112,2458254.5565844486
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-06-14T05:34:18.895 ,4,-0.0011997935377732658,-3.040140495003871,FoVP,0.5924806670829545,0.7201911661006083,2458283.7308197715
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-06-14T07:20:53.112 ,3,0.0023702744913983286,-3.0439265656433423,FoVF,0.5942271517113498,0.7187288682974845,2458283.8048266047
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-07-25T05:11:52.091 ,1,0.003638807127849969,-2.359761209837244,FoVP,-0.636199794917466,0.7184369592925761,2458324.7156178174
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-07-25T06:58:26.319 ,5,-3.679466867640239E-4,-2.3630778265864003,FoVF,-0.6347914381590167,0.7198098742793172,2458324.7896267436
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-08-25T11:00:59.178 ,5,-0.00248007344230544,1.920845335570657,FoVP,0.690825694385378,0.7238230865877887,2458355.9590031835
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-08-25T12:47:33.386 ,3,0.0021491890467708434,1.9183599176570159,FoVF,0.6918244802685545,0.7229731089673604,2458356.0330129294
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-09-25T04:44:01.229 ,3,0.0010838488131856036,2.9952194080301804,FoVP,-0.7212891250017436,0.7103077065155194,2458386.698434368
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-09-25T06:30:35.433 ,7,-0.00416173483842422,2.994221227117941,FoVF,-0.7213880678090315,0.7101766828699514,2458386.772444357
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-11-20T21:54:21.238 ,2,0.0022600271581219487,1.975445676279494,FoVP,-0.6198209662123348,0.7079077649469768,2458443.4158166703
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-11-20T23:40:55.449 ,6,-0.0030278227519912305,1.9769701608252424,FoVF,-0.6217836859498412,0.7060439449134924,2458443.48982523
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2018-12-29T20:41:12.273 ,6,-0.004935688896308891,-0.17985928201788298,FoVP,0.5881296732259083,0.70443943601508,2458482.365292049
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-01-17T02:41:35.146 ,6,-0.0051197453051504156,0.8777882474467644,FoVP,-0.6084183179721958,0.7085638357397863,2458500.6153205396
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-02-23T07:41:02.977 ,6,-0.004201056496207782,-1.2665816719715919,FoVP,0.6931674577637337,0.7044384086110985,2458537.8221976897
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-02-23T09:27:37.187 ,4,0.0012878864997023986,-1.2665692343478254,FoVF,0.692346746263022,0.7053678378922427,2458537.896202
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-03-21T07:29:21.267 ,2,0.0016195237755298195,-0.13065415714019898,FoVP,-0.7087405869558498,0.7152082129054296,2458563.8130449867
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-03-21T09:15:55.471 ,7,-0.0036451327198835943,-0.13192953148816852,FoVF,-0.7086829984054666,0.7152816483417154,2458563.8870489653
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-04-23T01:05:47.422 ,3,0.0012353345655460176,-2.20066010548667,FoVP,0.683143495032094,0.7132271868065947,2458596.5454240725
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-04-23T02:52:21.664 ,1,0.005848470061125563,-2.2033033574515737,FoVF,0.6841152202743456,0.7121868014855671,2458596.6194289885
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-05-30T18:43:12.776 ,1,0.004578719721624392,-1.385465444156207,FoVP,-0.6044554390346821,0.7217435975140445,2458634.278809509
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2019-05-30T20:29:47.020 ,4,9.236841333727867E-4,-1.389198944090379,FoVF,-0.6026634692684827,0.7231473146739107,2458634.352815935
