Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-10-08T05:07:04.146 ,7,-0.004094991829139502,0.7431067880110591,FoVF,-0.42486167570178457,0.7173771318236377,2457303.7109344136
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-10-17T21:27:33.559 ,4,-0.0018560200041360423,0.06015992220357204,FoVP,0.1233413469538237,0.7146211791319554,2457313.3910898394
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-10-17T23:14:07.755 ,4,3.196321628240325E-4,0.05520664997107044,FoVF,0.12686318796039261,0.7130800211194019,2457313.465091496
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-01-17T06:52:40.623 ,1,0.005746708189902669,-2.797433246675217,FoVF,-0.19025281623779058,0.6944565041012062,2457404.7836373136
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-01-17T11:06:20.746 ,4,-5.702015755260505E-4,-2.8090402403735983,FoVP,-0.18237431963412504,0.6987552452730633,2457404.9598090793
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-01-17T12:52:54.923 ,6,-0.0031869920375888075,-2.813936368369156,FoVF,-0.1790300152965249,0.7005361143077847,2457405.033821214
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-01-28T23:13:28.444 ,4,-8.214344456971798E-4,2.6535710151278513,FoVP,0.4715102762603021,0.7010797575919486,2457416.4656805214
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-01-29T01:00:02.666 ,3,0.0023892605966386853,2.6490570914659384,FoVF,0.4751594959711988,0.6994397629604024,2457416.539694088
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-03-04T10:37:13.450 ,5,-0.002384125378345116,-2.1984938117328063,FoVP,-0.7016546784200535,0.7058230421610009,2457451.943936245
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-07-21T05:28:11.655 ,5,-0.0030464593539312338,-0.28189152003854173,FoVP,0.2795121206652111,0.724331852456565,2457590.7327975216
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-07-21T07:14:45.888 ,5,-1.8109326168927388E-4,-0.2775471693987146,FoVF,0.276774311250848,0.7262584890138378,2457590.8067993512
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-08-06T11:35:37.167 ,1,0.004929453053594914,0.7832796891885364,FoVP,-0.5725463562510066,0.7279052635045944,2457606.986615093
